type,fy17cx,fy17cn,fy17f,fy17s,fy17p,fy17total
AG,1,44,1,1,,6073000
BR,,10,8,10,3,539830000
C,,13,1,1,,92733000
CO,22,30,,4,1,169546000
CS,,36,4,3,1,61363000
DP,,2,2,,,21591000
E,,22,3,6,3,3223712000
ED,3,80,16,12,4,653698000
EP,8,7,6,3,1,164296000
F,,20,8,2,1,202283000
FA,,5,4,4,1,293081000
FT,,2,2,2,2,0
HA,,8,1,,,173677000
HB,,100,47,33,9,681573000
HD,,205,34,4,12,453114000
HH,,12,3,1,,40844000
HL,,133,2,1,,41657000
HN,,36,1,5,2,118691000
HO,,18,3,1,2,329436000
HR,,52,4,4,,26532000
HW,9,125,51,36,32,472873000
JJ,,2,1,1,,0
L,,6,2,,3,15750000
LB,,7,2,1,1,70697000
LN,,15,1,1,4,27536000
LQ,,9,1,1,1,56564000
MT,,2,,2,,0
P,1,171,45,42,22,767671000
PO,,25,3,,1,396651000
PU,1,16,4,1,2,701008000
PV,,586,15,16,25,271679000
PW,,241,6,5,3,163892000
RE,,6,,,1,6521000
S,,27,8,3,2,186792000
SE,34,30,7,,4,892216000
ST,,3,1,1,,375000
T,,10,2,2,2,696200000
TD,,3,2,1,1,41991000
TF,2,19,6,6,2,132955000
W,4,1,,,,171330000
WM,5,4,4,4,4,827795000
WP,14,9,13,13,1,812789000